Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST
15,Jared Butler,21,42,360,61,151,28,88,11,16,5,45,63,17,8,33,47,161,0.404,0.318,0.688,8.6,3.8,1.1,1.5
16,Ahmad Caver,25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,,,1,2,0,0
17,Justin Champagnie,20,36,281,31,67,10,28,9,9,37,72,11,8,4,8,32,81,0.463,0.357,1,7.8,2.3,2,0.3
18,Josh Christopher,20,74,1334,224,500,56,189,83,113,52,186,150,65,13,114,97,587,0.448,0.296,0.735,18,7.9,2.5,2
19,Sharife Cooper,20,13,39,3,14,1,6,0,0,0,5,5,0,0,5,1,7,0.214,0.167,,3,0.5,0.4,0.4
20,Petr Cornelie,26,13,38,5,15,1,8,3,4,7,14,3,1,1,4,7,14,0.333,0.125,0.75,2.9,1.1,1.1,0.2
21,Jarron Cumberland,24,3,12,1,2,0,1,0,0,1,3,1,0,0,0,2,2,0.5,0,,4,0.7,1,0.3
22,Cade Cunningham,20,64,2088,429,1031,114,363,142,168,58,354,356,78,43,234,200,1114,0.416,0.314,0.845,32.6,17.4,5.5,5.6
23,Javin DeLaurier,23,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,,,3,0,1,0
24,Ayo Dosunmu,22,77,2110,278,535,70,186,53,78,27,214,256,60,29,108,182,679,0.52,0.376,0.679,27.4,8.8,2.8,3.3
25,Jeff Dowtin,24,9,108,8,26,1,9,2,2,8,18,10,5,1,5,5,19,0.308,0.111,1,12,2.1,2,1.1
26,Chris Duarte,24,55,1541,268,621,94,255,90,112,41,226,114,56,10,90,95,720,0.432,0.369,0.804,28,13.1,4.1,2.1
27,David Duke Jr.,22,22,341,39,108,9,37,17,21,30,67,17,14,7,9,36,104,0.361,0.243,0.81,15.5,4.7,3,0.8
28,Jaime Echenique,24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,0,0,0
29,Kessler Edwards,21,48,987,110,267,48,136,16,19,44,172,31,29,24,42,85,284,0.412,0.353,0.842,20.6,5.9,3.6,0.6
30,Rob Edwards,25,2,11,1,4,1,4,0,0,0,3,0,0,0,1,0,3,0.25,0.25,,5.5,1.5,1.5,0
31,Aleem Ford,24,5,74,6,20,2,15,0,0,2,15,2,1,0,4,7,14,0.3,0.133,,14.8,2.8,3,0.4
32,Marcus Garrett,23,12,128,5,21,1,4,2,5,9,23,7,5,3,2,16,13,0.238,0.25,0.4,10.7,1.1,1.9,0.6
33,Usman Garuba,19,24,239,19,44,5,20,5,7,21,83,17,10,11,6,28,48,0.432,0.25,0.714,10,2,3.5,0.7
34,Luka Garza,23,32,389,66,147,16,49,38,61,58,100,20,9,6,18,55,186,0.449,0.327,0.623,12.2,5.8,3.1,0.6
35,Josh Giddey,19,54,1700,281,670,56,213,56,79,98,421,345,51,20,171,88,674,0.419,0.263,0.709,31.5,12.5,7.8,6.4
36,Jordan Goodwin,23,2,6,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,,3,0,0.5,0
37,Hassani Gravett,25,8,171,18,38,11,26,3,4,1,21,20,5,1,9,13,50,0.474,0.423,0.75,21.4,6.3,2.6,2.5
38,Jalen Green,19,67,2138,406,954,157,458,188,236,33,226,176,44,18,135,103,1157,0.426,0.343,0.797,31.9,17.3,3.4,2.6
39,Quentin Grimes,21,46,786,95,235,72,189,13,19,24,94,44,31,11,28,72,275,0.404,0.381,0.684,17.1,6,2,1
40,Tyler Hall,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,0,0,0
41,Sam Hauser,24,26,158,23,50,19,44,0,0,5,29,10,1,2,2,7,65,0.46,0.432,,6.1,2.5,1.1,0.4
42,Aaron Henry,22,6,17,1,5,0,1,0,0,0,1,0,0,2,2,2,2,0.2,0,,2.8,0.3,0.2,0
43,Malcolm Hill,26,19,212,24,52,13,36,11,14,11,35,8,7,3,3,24,72,0.462,0.361,0.786,11.2,3.8,1.8,0.4
44,Jay Huff,23,4,20,0,3,0,2,0,0,1,4,1,1,1,1,1,0,0,0,,5,0,1,0.3
